Fecha;Nivel de agua;Temperatura de agua;Conductividad Eléctrica;Nivel de bateria
2024-01-11 19:15:00;0,13;8,05;105,2;12,93
2024-01-11 19:20:00;0,131;8,01;105,2;12,94
2024-01-11 19:25:00;0,131;7,948;105,3;12,94
2024-01-11 19:30:00;0,131;7,904;105,4;12,94
2024-01-11 19:35:00;0,131;7,866;105,4;12,94
2024-01-11 19:40:00;0,131;7,831;105,5;12,94
2024-01-11 19:45:00;0,131;7,793;105,5;12,94
2024-01-11 19:50:00;0,131;7,757;105,5;12,94
2024-01-11 19:55:00;0,131;7,727;105,6;12,94
2024-01-11 20:00:00;0,131;7,696;105,6;12,93
2024-01-11 20:05:00;0,131;7,662;105,7;12,93
2024-01-11 20:10:00;0,131;7,632;105,7;12,93
2024-01-11 20:15:00;0,131;7,602;105,7;12,93
2024-01-11 20:20:00;0,131;7,572;105,7;12,93
2024-01-11 20:25:00;0,131;7,544;105,7;12,93
2024-01-11 20:30:00;0,131;7,514;105,8;12,93
2024-01-11 20:35:00;0,131;7,484;105,8;12,93
2024-01-11 20:40:00;0,131;7,45;105,8;12,93
2024-01-11 20:45:00;0,131;7,417;105,8;12,93
2024-01-11 20:50:00;0,131;7,391;105,8;12,92
2024-01-11 20:55:00;0,131;7,366;105,9;12,92
2024-01-11 21:00:00;0,131;7,343;105,9;12,92
2024-01-11 21:05:00;0,131;7,321;105,9;12,91
2024-01-11 21:10:00;0,131;7,302;106;12,92
2024-01-11 21:15:00;0,131;7,28;106;12,92
2024-01-11 21:20:00;0,132;7,255;105,9;12,92
2024-01-11 21:25:00;0,132;7,232;105,9;12,9
2024-01-11 21:30:00;0,132;7,212;105,9;12,73
2024-01-11 21:35:00;0,132;7,192;105,9;12,91
2024-01-11 21:40:00;0,132;7,167;106;12,91
2024-01-11 21:45:00;0,132;7,149;106;12,91
2024-01-11 21:50:00;0,132;7,131;105,9;12,7
2024-01-11 21:55:00;0,132;7,113;105,9;12,68
2024-01-11 22:00:00;0,132;7,095;105,9;12,69
2024-01-11 22:05:00;0,132;7,077;105,9;12,89
2024-01-11 22:10:00;0,132;7,061;105,9;12,91
2024-01-11 22:15:00;0,132;7,042;105,9;12,91
2024-01-11 22:20:00;0,132;7,022;105,9;12,9
2024-01-11 22:25:00;0,132;7,005;105,8;12,9
2024-01-11 22:30:00;0,132;6,98;105,9;12,9
2024-01-11 22:35:00;0,132;6,958;105,9;12,9
2024-01-11 22:40:00;0,132;6,936;105,9;12,9
2024-01-11 22:45:00;0,132;6,916;105,9;12,9
2024-01-11 22:50:00;0,132;6,894;105,9;12,9
2024-01-11 22:55:00;0,132;6,874;105,9;12,9
2024-01-11 23:00:00;0,132;6,863;105,9;12,89
2024-01-11 23:05:00;0,132;6,857;105,9;12,88
2024-01-11 23:10:00;0,132;6,847;105,9;12,68
2024-01-11 23:15:00;0,132;6,835;105,9;12,89
2024-01-11 23:20:00;0,132;6,82;105,9;12,89
2024-01-11 23:25:00;0,132;6,802;105,9;12,89
2024-01-11 23:30:00;0,132;6,784;105,9;12,88
2024-01-11 23:35:00;0,132;6,767;105,8;12,88
2024-01-11 23:40:00;0,132;6,753;105,8;12,88
2024-01-11 23:45:00;0,132;6,74;105,8;12,88
2024-01-11 23:50:00;0,132;6,728;105,8;12,88
2024-01-11 23:55:00;0,132;6,715;105,8;12,88
